===> Epoch 1 Complete: Avg. Loss: 0.0581
===> Processing image: 33 || Timer: 0.0879 sec. || PSNR: 20.0966 dB
===> Processing image: 34 || Timer: 0.0889 sec. || PSNR: 20.5389 dB
===> Processing image: 35 || Timer: 0.0875 sec. || PSNR: 21.2140 dB
===> Processing image: 36 || Timer: 0.0906 sec. || PSNR: 22.5563 dB
===> Processing image: 37 || Timer: 0.0870 sec. || PSNR: 21.1536 dB
===> Processing image: 38 || Timer: 0.0814 sec. || PSNR: 23.6731 dB
===> Processing image: 39 || Timer: 0.0896 sec. || PSNR: 21.3720 dB
===> Processing image: 40 || Timer: 0.0859 sec. || PSNR: 28.4546 dB
===> Processing image: 41 || Timer: 0.0949 sec. || PSNR: 23.5750 dB
===> Processing image: 42 || Timer: 0.0967 sec. || PSNR: 21.5701 dB
===> Processing image: 43 || Timer: 0.0876 sec. || PSNR: 23.3638 dB
===> Processing image: 44 || Timer: 0.0859 sec. || PSNR: 26.4968 dB
===> Processing image: 45 || Timer: 0.0878 sec. || PSNR: 26.0030 dB
===> Processing image: 46 || Timer: 0.0887 sec. || PSNR: 29.5018 dB
===> Processing image: 47 || Timer: 0.0812 sec. || PSNR: 28.7392 dB
===> Processing image: 48 || Timer: 0.0946 sec. || PSNR: 26.2801 dB
===> Processing image: 49 || Timer: 0.0895 sec. || PSNR: 26.0028 dB
===> Processing image: 50 || Timer: 0.0850 sec. || PSNR: 27.6327 dB
===> Processing image: 51 || Timer: 0.0848 sec. || PSNR: 30.9351 dB
===> Processing image: 52 || Timer: 0.0939 sec. || PSNR: 27.2803 dB
===> Processing image: 53 || Timer: 0.0818 sec. || PSNR: 27.9375 dB
===> Processing image: 54 || Timer: 0.0805 sec. || PSNR: 26.3405 dB
===> Processing image: 55 || Timer: 0.0840 sec. || PSNR: 29.0597 dB
===> Processing image: 56 || Timer: 0.0869 sec. || PSNR: 27.5720 dB
===> Processing image: 57 || Timer: 0.0798 sec. || PSNR: 28.5481 dB
===> Processing image: 58 || Timer: 0.0811 sec. || PSNR: 29.1955 dB
===> Processing image: 59 || Timer: 0.0810 sec. || PSNR: 28.5830 dB
===> Processing image: 60 || Timer: 0.0868 sec. || PSNR: 28.3365 dB
===> Processing image: 61 || Timer: 0.0860 sec. || PSNR: 22.7154 dB
===> Processing image: 62 || Timer: 0.0850 sec. || PSNR: 29.8279 dB
===> Processing image: 63 || Timer: 0.0855 sec. || PSNR: 28.3541 dB
===> Processing image: 64 || Timer: 0.0860 sec. || PSNR: 23.3365 dB
===> Processing image: 65 || Timer: 0.0846 sec. || PSNR: 26.1991 dB
===> Processing image: 66 || Timer: 0.0841 sec. || PSNR: 27.9631 dB
===> Processing image: 67 || Timer: 0.0950 sec. || PSNR: 27.9190 dB
===> Processing image: 68 || Timer: 0.0943 sec. || PSNR: 27.8342 dB
===> Processing image: 69 || Timer: 0.0845 sec. || PSNR: 29.0181 dB
===> Processing image: 70 || Timer: 0.0949 sec. || PSNR: 26.9130 dB
===> Processing image: 71 || Timer: 0.0915 sec. || PSNR: 26.8202 dB
===> Processing image: 72 || Timer: 0.0863 sec. || PSNR: 28.1088 dB
===> Processing image: 73 || Timer: 0.0894 sec. || PSNR: 21.3348 dB
===> Processing image: 74 || Timer: 0.0875 sec. || PSNR: 20.9003 dB
===> Processing image: 75 || Timer: 0.0870 sec. || PSNR: 18.9563 dB
===> Processing image: 76 || Timer: 0.0850 sec. || PSNR: 23.8267 dB
===> Processing image: 77 || Timer: 0.0857 sec. || PSNR: 21.9627 dB
===> Processing image: 78 || Timer: 0.0887 sec. || PSNR: 23.9511 dB
===> Processing image: 79 || Timer: 0.0910 sec. || PSNR: 22.2347 dB
===> Processing image: 80 || Timer: 0.0878 sec. || PSNR: 23.4829 dB
===> Processing image: 81 || Timer: 0.0819 sec. || PSNR: 25.0868 dB
===> Processing image: 82 || Timer: 0.0808 sec. || PSNR: 26.4008 dB
===> Processing image: 83 || Timer: 0.0844 sec. || PSNR: 21.1900 dB
===> Processing image: 84 || Timer: 0.0827 sec. || PSNR: 28.0753 dB
===> Processing image: 85 || Timer: 0.0829 sec. || PSNR: 26.8306 dB
===> Processing image: 86 || Timer: 0.0830 sec. || PSNR: 32.6143 dB
===> Processing image: 87 || Timer: 0.1048 sec. || PSNR: 26.6815 dB
===> Processing image: 88 || Timer: 0.0884 sec. || PSNR: 22.6967 dB
===> Processing image: 89 || Timer: 0.0825 sec. || PSNR: 22.6545 dB
